
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
16:AA:E5:9B:40:BA, 2015-04-29 07:23:40, 2015-04-29 07:27:08,  4,  54, OPN ,       ,   , -90,      257,        0,   0.  0.  0.  0,   8, FreeWifi, 
16:AA:E5:9B:40:BB, 2015-04-29 07:23:43, 2015-04-29 07:27:08,  4,  54, WPA , CCMP, MGT, -91,      241,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
16:AA:E5:9B:40:B9, 2015-04-29 07:23:40, 2015-04-29 07:27:30,  4,  54, WPA2, CCMP,PSK, -91,      239,        0,   0.  0.  0.  0,   0, , 
16:AA:E5:9B:40:B8, 2015-04-29 07:23:38, 2015-04-29 07:26:55,  4,  54, WPA , CCMP TKIP,PSK, -89,      118,        0,   0.  0.  0.  0,  25, FREEBOX_MARIEFRANCOISE_MZ, 
40:16:7E:2F:0A:24, 2015-04-29 07:23:46, 2015-04-29 07:26:57,  4,  54, WPA2, CCMP,PSK, -92,       44,        3,   0.  0.  0.  0,  17, LunixCloud-2.4GHz, 
F4:CA:E5:B8:40:ED, 2015-04-29 07:23:45, 2015-04-29 07:27:23,  3,  54, OPN ,       ,   , -88,       81,        0,   0.  0.  0.  0,   8, FreeWifi, 
F4:CA:E5:B8:40:EC, 2015-04-29 07:23:57, 2015-04-29 07:27:25,  3,  54, WPA , CCMP,PSK, -88,       98,        0,   0.  0.  0.  0,  14, Freebox-5991E5, 
F4:CA:E5:B8:40:EE, 2015-04-29 07:23:48, 2015-04-29 07:27:24,  3,  54, WPA2, CCMP TKIP, MGT, -88,       76,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
D6:CA:6D:F5:B7:15, 2015-04-29 07:23:35, 2015-04-29 07:27:12,  2,  54, WPA2, CCMP,PSK, -64,      138,       70,   0.  0.  0.  0,   9, LeNodeEst, 
D4:CA:6D:F5:B7:15, 2015-04-29 07:23:35, 2015-04-29 07:27:31,  2,  54, WPA2, CCMP,PSK, -64,      181,       64,   0.  0.  0.  0,   6, LeNode, 
4C:5E:0C:2C:D5:23, 2015-04-29 07:23:34, 2015-04-29 07:27:33,  4,  54, WPA2, CCMP,PSK, -28,     2324,     2014,   0.  0.  0.  0,   6, LeNode, 
4E:5E:0C:2C:D5:23, 2015-04-29 07:23:34, 2015-04-29 07:27:33,  4,  54, WPA2, CCMP,PSK, -27,     2325,     1040,   0.  0.  0.  0,  11, LeNodeOuest, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E4:CE:8F:4B:EE:AC, 2015-04-29 07:23:38, 2015-04-29 07:26:18, -80,       11, D6:CA:6D:F5:B7:15,
C4:43:8F:F6:D1:06, 2015-04-29 07:24:07, 2015-04-29 07:25:36, -85,       13, D4:CA:6D:F5:B7:15,
D0:A6:37:D7:0E:89, 2015-04-29 07:23:57, 2015-04-29 07:25:27, -73,       76, D6:CA:6D:F5:B7:15, LeNodeEst
84:B1:53:AD:1C:7D, 2015-04-29 07:23:42, 2015-04-29 07:24:56, -51,       57, 4C:5E:0C:2C:D5:23, LeNode
28:CF:E9:65:0D:05, 2015-04-29 07:24:29, 2015-04-29 07:24:40, -90,        2, (not associated) , Livebox-4218
34:FC:EF:E0:96:0E, 2015-04-29 07:23:52, 2015-04-29 07:25:31, -75,       40, D4:CA:6D:F5:B7:15,
6C:40:08:BE:13:2A, 2015-04-29 07:25:09, 2015-04-29 07:25:51, -73,      156, 4C:5E:0C:2C:D5:23, LeNode
90:B9:31:2D:8A:FC, 2015-04-29 07:23:48, 2015-04-29 07:26:21, -47,        6, D4:CA:6D:F5:B7:15, LeNode
C4:9A:02:0B:DB:3C, 2015-04-29 07:24:50, 2015-04-29 07:27:11, -79,        8, D6:CA:6D:F5:B7:15,
40:E2:30:77:71:D1, 2015-04-29 07:24:13, 2015-04-29 07:27:31, -79,       40, D4:CA:6D:F5:B7:15, LeNode
A4:17:31:9B:3C:87, 2015-04-29 07:23:54, 2015-04-29 07:26:35, -65,       15, D6:CA:6D:F5:B7:15, LeNodeEst
F8:2F:A8:F4:41:19, 2015-04-29 07:25:16, 2015-04-29 07:27:16, -64,       13, D4:CA:6D:F5:B7:15,
84:A6:C8:2D:46:B4, 2015-04-29 07:25:21, 2015-04-29 07:27:21, -62,        5, (not associated) ,
9C:F3:87:C0:48:A6, 2015-04-29 07:26:27, 2015-04-29 07:27:33, -41,      531, 4C:5E:0C:2C:D5:23, ouvert,belkin.f5c.guests,Réseau Wi-Fi Galerie,HotSpot Aeroport de Bordeaux 1,LeNode
D0:23:DB:2F:A6:64, 2015-04-29 07:23:48, 2015-04-29 07:27:30, -40,      435, 4C:5E:0C:2C:D5:23,
6C:40:08:A2:2C:FC, 2015-04-29 07:23:34, 2015-04-29 07:27:33, -42,      246, 4E:5E:0C:2C:D5:23,
88:1F:A1:02:0D:38, 2015-04-29 07:23:42, 2015-04-29 07:27:31, -36,      173, 4E:5E:0C:2C:D5:23,
8C:3A:E3:43:EE:E7, 2015-04-29 07:23:35, 2015-04-29 07:27:33, -25,     2416, 4C:5E:0C:2C:D5:23,
C4:6E:1F:17:DD:EC, 2015-04-29 07:23:37, 2015-04-29 07:27:28,   0,       33, 4C:5E:0C:2C:D5:23,

