
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
16:AA:E5:9B:40:BA, 2015-04-29 07:30:16, 2015-04-29 07:30:40,  4,  54, OPN ,       ,   , -91,        3,        0,   0.  0.  0.  0,   8, FreeWifi, 
16:AA:E5:9B:40:BB, 2015-04-29 07:29:44, 2015-04-29 07:30:36,  4,  54, WPA , CCMP, MGT, -91,        4,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
D6:CA:6D:F5:B7:15, 2015-04-29 07:29:26, 2015-04-29 07:30:30,  2,  54, WPA2, CCMP,PSK, -65,        8,        1,   0.  0.  0.  0,   9, LeNodeEst, 
D4:CA:6D:F5:B7:15, 2015-04-29 07:29:19, 2015-04-29 07:30:21,  2,  54, WPA2, CCMP,PSK, -63,       12,        2,   0.  0.  0.  0,   6, LeNode, 
4C:5E:0C:2C:D5:23, 2015-04-29 07:29:18, 2015-04-29 07:30:42,  4,  54, WPA2, CCMP,PSK, -27,      806,      499,   0.  0.  0.  0,   6, LeNode, 
4E:5E:0C:2C:D5:23, 2015-04-29 07:29:18, 2015-04-29 07:30:42,  4,  54, WPA2, CCMP,PSK, -27,      817,      352,   0.  0.  0.  0,  11, LeNodeOuest, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
84:A6:C8:2D:46:B4, 2015-04-29 07:29:20, 2015-04-29 07:29:21, -68,        2, (not associated) ,
90:B9:31:2D:8A:FC, 2015-04-29 07:29:21, 2015-04-29 07:29:21, -58,        1, (not associated) , LeNode
E4:CE:8F:4B:EE:AC, 2015-04-29 07:30:14, 2015-04-29 07:30:26, -83,        2, D6:CA:6D:F5:B7:15,
C4:9A:02:0B:DB:3C, 2015-04-29 07:29:26, 2015-04-29 07:30:10, -77,        2, D6:CA:6D:F5:B7:15,
34:FC:EF:E0:96:0E, 2015-04-29 07:30:18, 2015-04-29 07:30:21, -77,       10, D4:CA:6D:F5:B7:15,
40:E2:30:77:71:D1, 2015-04-29 07:30:25, 2015-04-29 07:30:26, -72,        5, (not associated) , LeNode
C4:43:8F:F6:D1:06, 2015-04-29 07:29:45, 2015-04-29 07:29:45, -68,        7, D4:CA:6D:F5:B7:15,
F8:2F:A8:F4:41:19, 2015-04-29 07:29:24, 2015-04-29 07:30:30, -64,       17, D6:CA:6D:F5:B7:15,
A4:17:31:9B:3C:87, 2015-04-29 07:30:35, 2015-04-29 07:30:36, -62,        5, (not associated) , LeNodeEst
6C:40:08:A2:2C:FC, 2015-04-29 07:29:24, 2015-04-29 07:30:38, -43,       88, 4E:5E:0C:2C:D5:23,
D0:23:DB:2F:A6:64, 2015-04-29 07:29:23, 2015-04-29 07:30:32, -42,       33, 4C:5E:0C:2C:D5:23,
9C:F3:87:C0:48:A6, 2015-04-29 07:29:19, 2015-04-29 07:30:38, -40,       89, 4C:5E:0C:2C:D5:23,
88:1F:A1:02:0D:38, 2015-04-29 07:29:25, 2015-04-29 07:30:39, -32,       44, 4E:5E:0C:2C:D5:23,
8C:3A:E3:43:EE:E7, 2015-04-29 07:29:18, 2015-04-29 07:30:42, -26,      767, 4C:5E:0C:2C:D5:23,
C4:6E:1F:17:DD:EC, 2015-04-29 07:29:22, 2015-04-29 07:30:42,   0,       11, 4C:5E:0C:2C:D5:23,

